#list name, column name, klarf 1.2 column type, klarf 1.8 column type
DefectRecordSpec,DEFECTID,int32,int32
DefectRecordSpec,XREL,float,int32
DefectRecordSpec,YREL,float,int32
DefectRecordSpec,XINDEX,int32,int32
DefectRecordSpec,YINDEX,int32,int32
DefectRecordSpec,XSIZE,float,int32
DefectRecordSpec,YSIZE,float,int32
DefectRecordSpec,DEFECTAREA,float,float
DefectRecordSpec,DSIZE,float,int32
DefectRecordSpec,CLASSNUMBER,int32,int32
DefectRecordSpec,TEST,int32,int32
DefectRecordSpec,CLUSTERNUMBER,int32,int32
DefectRecordSpec,ROUGHBINNUMBER,int32,int32
DefectRecordSpec,FINEBINNUMBER,int32,int32
DefectRecordSpec,REVIEWSAMPLE,int32,int32
DefectRecordSpec,SAMPLEBINNUMBER,int32,int32
DefectRecordSpec,CONTRAST,float,float
DefectRecordSpec,CHANNELID,int32,int32
DefectRecordSpec,MANSEMCLASS,int32,int32
DefectRecordSpec,AUTOONSEMCLASS,int32,int32
DefectRecordSpec,MICROSIGCLASS,int32,int32
DefectRecordSpec,MACROSIGCLASS,int32,int32
DefectRecordSpec,ADDERFLAG,int32,int32
DefectRecordSpec,AUTOOFFSEMCLASS,int32,int32
DefectRecordSpec,AUTOOFFOPTADC,int32,int32
DefectRecordSpec,FACLASS,int32,int32
DefectRecordSpec,INTENSITY,int32,int32
DefectRecordSpec,KILLPROB,float,float
DefectRecordSpec,MACROSIGID,int32,int32
DefectRecordSpec,REGIONID,int32,int32
DefectRecordSpec,REPEATER,int32,int32
DefectRecordSpec,EVENTTYPE,int32,int32
DefectRecordSpec,EBRLINE,int32,int32
DefectRecordSpec,POLARITY,int32,int32
DefectRecordSpec,CRITICALAREA,float,float
DefectRecordSpec,MANOPTCLASS,int32,int32
DefectRecordSpec,PHI,float,float
DefectRecordSpec,DBCLASS,int32,int32
DefectRecordSpec,DBGROUP,int32,int32
DefectRecordSpec,DBCRITICALITYINDEX,float,float
DefectRecordSpec,CELLSIZE,float,float
DefectRecordSpec,CAREAREAGROUPCODE,int32,int32
DefectRecordSpec,PCI,float,float
DefectRecordSpec,LINECOMPLEXITY,float,float
DefectRecordSpec,DCIRANGE,float,float
DefectRecordSpec,NUISANCE,int32,int32
DefectRecordSpec,CHIP_KILLER,int32,int32
DefectRecordSpec,IMAGECOUNT,int32,int32
DefectRecordSpec,IMAGELIST,IMAGELIST,ImageList
SummarySpec,TESTNO,int32,int32
SummarySpec,NDEFECT,int32,int32
SummarySpec,DEFDENSITY,float,float
SummarySpec,NDIE,int32,int32
SummarySpec,NDEFDIE,int32,int32
SummarySpec,HAZEREGION,float,float
SummarySpec,HAZEAVERAGE,float,float
SummarySpec,HAZESTDDEV,float,float
SummarySpec,HAZEMEDIAN,float,float
SummarySpec,HAZEPEAK,float,float
SummarySpec,AREAPERTEST,float,float
#these should be in order as there is no line first defining the columns
ClassLookup,CLASSNUMBER,int32,int32
ClassLookup,CLASSNAME,string,string
ClassLookup,CLASSCODE,string,string
SampleTestPlan,XINDEX,int32,int32
SampleTestPlan,YINDEX,int32,int32
RemovedDieList,XINDEX,int32,int32
RemovedDieList,YINDEX,int32,int32
CustomWaferList,NAME,string,string
CustomWaferList,VALUE,string,string
SampleDieMap,XINDEX,int32,int32
SampleDieMap,YINDEX,int32,int32
